date,StockID,close,变动日,信用等级
2020-01-02 14:44:00,SH113515,117.2,20190605,AA
2020-01-02 14:44:00,SH113516,114.37,20240627,AA+
2020-01-02 14:44:00,SH113518,130.78,20200618,AA
2020-01-02 14:44:00,SH113519,112.31,20240625,AA
2020-01-02 14:44:00,SH113520,154.88,20200618,AA-
2020-01-02 14:44:00,SH113521,125.07,20200623,AA
2020-01-02 14:44:00,SH113524,104.61,20240510,AA-
2020-01-02 14:44:00,SH113525,108.65,20220622,AA
2020-01-02 14:44:00,SH113526,134.43,20240801,AA+
2020-01-02 14:44:00,SH113527,92.69,20240624,AA
2020-01-02 14:44:00,SH113528,102.5,20210521,AA-
2020-01-02 14:44:00,SH113530,113.41,20240621,AA-
2020-01-02 14:44:00,SH113531,126.6,20190624,AA
2020-01-02 14:44:00,SH113532,106.53,20240621,AA+
2020-01-02 14:44:00,SH113534,114.13,20241023,AA-
2020-01-02 14:44:00,SH113535,102.32,20230625,AA-
2020-01-02 14:44:00,SH113536,110.99,20210524,AA
2020-01-02 14:44:00,SH113537,122.13,20240624,AA-
2020-01-02 14:44:00,SH113541,106.83,20220530,AA-
2020-01-02 14:44:00,SH113542,113.4,20250624,AA
2020-01-02 14:44:00,SH113543,127.73,20210617,AA
2020-01-02 14:44:00,SH113544,119.5,20200611,AA
2020-01-02 14:44:00,SH113545,114.76,20250520,AA-
2020-01-02 14:44:00,SH113546,105.34,20240605,A+
2020-01-02 14:44:00,SH113547,124.4,20200623,AA
2020-01-02 14:44:00,SH113548,139.76,20220607,AA-
2020-01-02 14:44:00,SH113549,110.31,20250624,AA
2020-01-02 14:44:00,SH113550,129.16,20210611,AA-
2020-01-02 14:44:00,SH113551,131.63,20200514,AA
2020-01-02 14:44:00,SZ123002,130.495,20230519,AA
2020-01-02 14:44:00,SZ123004,102.27,20230619,AA
2020-01-02 14:44:00,SZ123007,113.0,20210625,AA-
2020-01-02 14:44:00,SZ123010,105.801,20240625,A
2020-01-02 14:44:00,SZ123011,125.8,20240625,AA-
2020-01-02 14:44:00,SZ123012,123.62,20240605,AA-
2020-01-02 14:44:00,SZ123013,103.82,20240429,A+
2020-01-02 14:44:00,SZ123014,111.084,20230621,A+
2020-01-02 14:44:00,SZ123015,114.52,20230606,CC
2020-01-02 14:44:00,SZ123017,145.03,20200521,AA-
2020-01-02 14:44:00,SZ123018,122.152,20240621,AA-
2020-01-02 14:44:00,SZ123020,130.52,20200604,AA-
2020-01-02 14:44:00,SZ123021,122.0,20190624,AA
2020-01-02 14:44:00,SZ123022,180.998,20240614,AA
2020-01-02 14:44:00,SZ123023,102.04,20220624,AA-
2020-01-02 14:44:00,SZ123024,102.521,20210624,A+
2020-01-02 14:44:00,SZ123025,125.381,20240620,AA-
